resnet152squeezenet1_1densenet121resnet34	total: 100	success: 26	avg iter: 41.439998626708984
resnet50 vgg19 vgg11 densenet169		total: 100	success: 20	avg iter: 42.34000015258789
densenet201 resnet34 densenet169 resnet152		total: 100	success: 27	avg iter: 40.09000015258789
resnet34 resnet101 resnet152 squeezenet1_1		total: 100	success: 24	avg iter: 41.2400016784668
densenet121 vgg13 squeezenet1_1 vgg19		total: 100	success: 9	avg iter: 46.65999984741211
vgg11 densenet161 alexnet densenet121		total: 100	success: 10	avg iter: 46.31999969482422
vgg13 densenet161 densenet121 alexnet		total: 100	success: 7	avg iter: 47.790000915527344
squeezenet1_1 resnet152 resnet34 densenet201		total: 100	success: 29	avg iter: 40.61000061035156
squeezenet1_0 resnet50 resnet34 squeezenet1_1		total: 100	success: 29	avg iter: 40.31999969482422
vgg11 alexnet resnet50 squeezenet1_1		total: 100	success: 14	avg iter: 45.459999084472656
densenet169 densenet201 squeezenet1_1 vgg19		total: 100	success: 14	avg iter: 45.13999938964844
squeezenet1_0 alexnet vgg16 densenet121		total: 100	success: 10	avg iter: 46.25
densenet161 densenet201 squeezenet1_1 vgg13		total: 100	success: 14	avg iter: 45.68000030517578
squeezenet1_1 densenet121 vgg19 vgg11		total: 100	success: 17	avg iter: 44.54999923706055
alexnet resnet101 squeezenet1_0 squeezenet1_1		total: 100	success: 8	avg iter: 47.349998474121094
alexnet densenet121 vgg13 vgg11		total: 100	success: 13	avg iter: 45.90999984741211
densenet121 vgg16 resnet34 densenet161		total: 100	success: 31	avg iter: 40.029998779296875
vgg13 resnet50 resnet101 densenet169		total: 100	success: 19	avg iter: 43.0099983215332
densenet161 densenet201 resnet152 squeezenet1_1		total: 100	success: 14	avg iter: 44.95000076293945
resnet101 resnet152 squeezenet1_1 vgg11		total: 100	success: 16	avg iter: 44.290000915527344
resnet34 densenet201 vgg16 vgg11		total: 100	success: 33	avg iter: 38.95000076293945
vgg13 densenet201 squeezenet1_0 alexnet		total: 100	success: 9	avg iter: 46.290000915527344
resnet101 vgg19 densenet121 vgg13		total: 100	success: 16	avg iter: 45.31999969482422
