==13008== NVPROF is profiling process 13008, command: python inception.py
==13008== Profiling application: python inception.py
==13008== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
2.127002,0.169792,,,,,,,,,,1.023113,5.884459,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062682,0.001696,,,,,,,,,,0.003296,1.897789,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062728,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062745,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062761,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062775,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062804,0.006944,,,,,,,,,,0.035156,4.944164,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062822,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062837,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062851,0.000800,,,,,,,,,,0.000122,0.149012,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062866,0.000832,,,,,,,,,,0.000122,0.143280,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062902,0.013568,,,,,,,,,,0.070312,5.060772,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062923,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062936,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062950,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062963,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.062985,0.004192,,,,,,,,,,0.019531,4.549973,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063002,0.000864,,,,,,,,,,0.000305,0.344934,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063015,0.000832,,,,,,,,,,0.000305,0.358201,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063029,0.000832,,,,,,,,,,0.000305,0.358201,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063041,0.000832,,,,,,,,,,0.000305,0.358201,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063166,0.086880,,,,,,,,,,0.527344,5.927534,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.063260,0.000896,,,,,,,,,,0.000732,0.798276,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
