==1520== NVPROF is profiling process 1520, command: python vgg.py vgg11_bn
==1520== Profiling application: python vgg.py vgg11_bn
==1520== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
2.192108,0.095809,,,,,,,,,,0.574219,5.852900,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366723,0.001952,,,,,,,,,,0.006592,3.297798,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366750,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366771,0.000800,,,,,,,,,,0.000244,0.298023,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366785,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366798,0.000992,,,,,,,,,,0.000244,0.240341,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366811,0.000832,,,,,,,,,,0.000244,0.286561,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366892,0.047521,,,,,,,,,,0.281250,5.779723,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366947,0.000992,,,,,,,,,,0.000488,0.480683,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366964,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366978,0.001088,,,,,,,,,,0.000488,0.438269,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.366991,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367003,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367646,0.189826,,,,,,,,,,1.125000,5.787578,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367843,0.001024,,,,,,,,,,0.000977,0.931323,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367861,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367874,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367886,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.367899,0.000928,,,,,,,,,,0.000977,1.027666,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.368464,0.432675,,,,,,,,,,2.250000,5.078328,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.368904,0.001248,,,,,,,,,,0.000977,0.764162,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
10.368922,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
